Names,ASPLOS,ATC,CCGRID,CCS,CIDR,CoNEXT,EuroPar,EuroSys,FAST,HCW,HotCloud,HotI,HotOS,HotStorage,HPCA,HPDC,ICAC,ICPE,IMC,ISC,ISCA,ISPASS,KDD,MASCOTS,MICRO,Middleware,MobiCom,NDSS,PLDI,PODC,PODS,PPoPP,SC,SIGCOMM,SIGIR,SIGMETRICS,SIGMOD,SLE,SOCC,SOSP,SP,SPAA,SYSTOR,VEE
ASPLOS,,0.892418809913,0.808567832706,0.715522840316,0.679339158813,0.672125911361,0.812743355216,0.878822843293,0.719336030949,0.664841404,0.742720959788,0.638568238629,0.819269172111,0.727269984978,0.883453745473,0.765256994537,0.700652620892,0.775981913998,0.578758309393,0.77540313835,0.915585350688,0.856299770219,0.596635415165,0.809702125194,0.908024642891,0.763099187696,0.654376804941,0.781194018881,0.74477978388,0.557059300105,0.490860557343,0.833616583651,0.843159526578,0.649656806021,0.494168277178,0.714217383826,0.728227697237,0.546799542381,0.814955885091,0.847990344458,0.725700033992,0.585518280473,0.742438876623,0.750443255061
ATC,,,0.832647447179,0.704351015388,0.718354084646,0.691637112655,0.783268846792,0.900016980353,0.825035056727,0.677374795597,0.766868280295,0.64409916503,0.850343470837,0.797161147702,0.812346031086,0.782458150457,0.708894372629,0.772008123718,0.598572336576,0.766142703289,0.836478341101,0.789878506719,0.588512474541,0.785994000559,0.825975571528,0.788157086545,0.675650708285,0.779236012393,0.681004297564,0.538989425198,0.483690058722,0.796478340817,0.855462493505,0.673330816212,0.494531737125,0.71145290862,0.740975536518,0.492709492648,0.868103624397,0.901981790345,0.720386145293,0.586045246887,0.774804826575,0.771892958515
CCGRID,,,,0.696383887662,0.725268592172,0.7031565993,0.850232219123,0.824153201808,0.687348417341,0.733096516694,0.831905256841,0.697268073243,0.79198276471,0.708104114983,0.751716293611,0.813561369618,0.817846925528,0.810356282094,0.6090312763,0.787065563716,0.757671987279,0.740424611974,0.686668528997,0.82856436212,0.755381709866,0.827502448945,0.683520677736,0.728666869528,0.646156967383,0.572573054498,0.527829681066,0.740179881901,0.845744942748,0.654307739756,0.577076671097,0.759871579743,0.754253483277,0.51684591165,0.878979374932,0.805373432873,0.723365528526,0.642191605171,0.744165026818,0.667087587438
CCS,,,,,0.632641880134,0.673593560858,0.644511511046,0.722288383083,0.559481073254,0.477740542445,0.634832377981,0.541600755343,0.713644113305,0.55057091705,0.633012697507,0.63578410183,0.598224867171,0.629651554646,0.684022677332,0.614243003649,0.658758166113,0.573144517332,0.667437159066,0.641894637661,0.665630552644,0.687225541203,0.665304455238,0.898292887873,0.734648784785,0.623728257021,0.636252700677,0.668770098559,0.723129948893,0.621290401577,0.617241941881,0.698435331703,0.742147711579,0.584851076063,0.714506620007,0.742809971966,0.927810448328,0.586249985196,0.567116806588,0.570761917506
CIDR,,,,,,0.558157635676,0.654562737697,0.726799269614,0.638200645027,0.519310045735,0.7016195298,0.49841408616,0.744904031916,0.655020779596,0.594854714748,0.735303266072,0.612215827616,0.660285441374,0.543952990889,0.638673702843,0.637096310152,0.569264335963,0.611043397845,0.598632241368,0.654883994652,0.687348977049,0.57648422917,0.634631227989,0.617817787746,0.460928540552,0.585155736324,0.64531891129,0.729853806173,0.536290334885,0.594374430417,0.591247730916,0.828292177497,0.484075695388,0.8090870926,0.755457382345,0.673464677962,0.509660050182,0.651004865078,0.509057665323
CoNEXT,,,,,,,0.63644139426,0.690734014169,0.549050191467,0.500155214252,0.65536997944,0.678660794701,0.616925691187,0.539917727111,0.66627235314,0.649692511938,0.638200247991,0.649849624276,0.699706512531,0.608353440154,0.63524555068,0.580478990399,0.614141826331,0.663595829695,0.642890745014,0.671791686924,0.792216085927,0.695979281099,0.553574895716,0.541477573054,0.468344741779,0.586825899073,0.707479332573,0.798333346518,0.499989803983,0.668986018265,0.647964164202,0.425220399544,0.704411866967,0.682390956,0.67732574328,0.56688391414,0.600482396551,0.501269379811
EuroPar,,,,,,,,0.792775195151,0.612795565,0.717097461939,0.720269926499,0.677449487055,0.712600635464,0.606255863479,0.746310073131,0.790472061156,0.726585791708,0.755464395551,0.530414637159,0.849483756785,0.771658398523,0.770953290654,0.705559192201,0.761818201776,0.772883332616,0.764728036194,0.609734702244,0.661198528915,0.704342310115,0.629398514543,0.581920184231,0.827837398281,0.853368225355,0.582363962792,0.546578080517,0.717613458304,0.786436004093,0.531937363588,0.802080795987,0.724312055693,0.648176158914,0.71011877561,0.668058501714,0.60340754942
EuroSys,,,,,,,,,0.763855224766,0.643577397733,0.774627827603,0.653309431127,0.825750085253,0.742857207834,0.777760055079,0.782442352494,0.701231833381,0.773199292077,0.613313170825,0.755854081101,0.804249169956,0.761049244571,0.586762144759,0.769054126539,0.798653110193,0.78103873474,0.664245292885,0.777707644166,0.709079841013,0.574884127223,0.518196534882,0.80582421553,0.832287425764,0.677151970796,0.496997833845,0.706147959219,0.74951316293,0.506339284205,0.848032669435,0.873272154701,0.740544410027,0.598453346635,0.754608685291,0.714920440066
FAST,,,,,,,,,,0.565668556397,0.629260695312,0.500609892103,0.723879549196,0.845718244766,0.664980264001,0.653311383796,0.562597789205,0.637771414233,0.472411868702,0.627941092152,0.650074656846,0.617554006274,0.454335760492,0.63709191936,0.653681746154,0.639528696799,0.545963492554,0.600468168276,0.516353699341,0.447662455766,0.385673327601,0.629723738941,0.729773597739,0.507721338552,0.384728495845,0.582697977247,0.624787861375,0.378827351042,0.748586725162,0.799398605594,0.574593141495,0.467772314216,0.687002171733,0.594863236732
HCW,,,,,,,,,,,0.630226385747,0.499791419365,0.64849084545,0.568201487563,0.618664208762,0.641940029972,0.61879124223,0.62693770729,0.40660842945,0.616643269537,0.627739666712,0.635209708314,0.483049421174,0.622832143837,0.640621230744,0.624165068104,0.506799840686,0.51150090505,0.495877702456,0.380410767366,0.35406059046,0.632671498862,0.675209492419,0.465431655884,0.398591662186,0.563787438198,0.547959689579,0.367987269221,0.681268125339,0.632071761036,0.497486127745,0.49096892324,0.634532012289,0.519847846709
HotCloud,,,,,,,,,,,,0.609868310724,0.768593394318,0.661980413811,0.664618266717,0.724784748001,0.700640487473,0.726696261423,0.600533971784,0.672018748413,0.683270807201,0.656662014855,0.578465992274,0.716417359403,0.677064624105,0.762502277812,0.638376691193,0.669172386633,0.574552891938,0.469036458027,0.432804814546,0.638705093338,0.755894196396,0.622142893278,0.504091720307,0.648010469867,0.663866253219,0.446451193426,0.811319463393,0.767458749277,0.676356330279,0.503292457087,0.724063376773,0.596347459168
HotI,,,,,,,,,,,,,0.563455654239,0.517943845339,0.638629346894,0.600239271705,0.565133736446,0.569900595888,0.531460041111,0.647132661764,0.617495043442,0.578089175537,0.531018367602,0.638595143109,0.595303095573,0.595885747632,0.587960296162,0.586701386982,0.480224160976,0.508324439827,0.400174549412,0.583661181096,0.690403547496,0.700817794875,0.397082928287,0.568541979832,0.57313807495,0.369738560358,0.64175369357,0.621480393606,0.556347137393,0.525649565074,0.56888477212,0.455537518722
HotOS,,,,,,,,,,,,,,0.730951710076,0.709699751074,0.744485239009,0.681892674263,0.759341365384,0.563294185716,0.697201905758,0.763506984226,0.710768228559,0.555800120998,0.711083386923,0.768331644314,0.762889826853,0.63997590727,0.749609004022,0.658000334177,0.493095417139,0.45938003388,0.718149897426,0.809457534971,0.59815746959,0.529596093647,0.648324711441,0.669547477751,0.528485298243,0.815709116986,0.859481328703,0.740054331351,0.491159095947,0.718232999525,0.718310539207
HotStorage,,,,,,,,,,,,,,,0.682928263767,0.661358198551,0.565333405138,0.639012205644,0.489372214863,0.630306555792,0.683823187921,0.633020500755,0.45778368287,0.671923428293,0.686086647915,0.647949144201,0.568619106961,0.60714531267,0.490489092604,0.395066283892,0.35540876791,0.609839019412,0.718723246972,0.517385848248,0.392679866281,0.5636591298,0.599095071105,0.359871641812,0.741293762118,0.765255523785,0.576248222229,0.430168458826,0.7185259692,0.60584839011
HPCA,,,,,,,,,,,,,,,,0.702618891908,0.65175306908,0.726255476348,0.553312627326,0.7457269601,0.915350362527,0.835059577696,0.544858043073,0.794444719437,0.909211333833,0.681092743612,0.639109545288,0.694037918354,0.600182579162,0.487212775224,0.425356480854,0.730362746879,0.793750886301,0.634890823216,0.445155110358,0.698649723587,0.65485305047,0.42169438643,0.744031562735,0.760211240151,0.625958674014,0.541141273663,0.708204495409,0.661767920511
HPDC,,,,,,,,,,,,,,,,,0.702751961712,0.753435816164,0.552962443784,0.760413917422,0.724000585494,0.682576915193,0.68110757706,0.737481965519,0.747031526749,0.74249305307,0.620333082665,0.630813634229,0.614430458669,0.572934613066,0.543677830501,0.739449553451,0.847963448217,0.606645169061,0.557902195934,0.729559557003,0.766719431343,0.460358660119,0.821584176957,0.759705071661,0.636225283564,0.666313584484,0.718005721509,0.561560695276
ICAC,,,,,,,,,,,,,,,,,,0.715040824914,0.545363181649,0.691528442921,0.651922299932,0.6313028467,0.618740795806,0.734998143228,0.660667726135,0.747104522014,0.655366406028,0.636326366505,0.59456904857,0.485034883587,0.448303122749,0.614879753801,0.729398784707,0.549388241257,0.545891226674,0.665781049764,0.655917324028,0.486884634627,0.747203148132,0.692426748538,0.636712521337,0.551280833452,0.61661068021,0.549051180422
ICPE,,,,,,,,,,,,,,,,,,,0.575023744217,0.73455075388,0.722880534235,0.740159031597,0.621657686258,0.769828765421,0.746210647686,0.77004311763,0.63503831334,0.64807443762,0.62400232456,0.494480977301,0.501047985202,0.681950323866,0.822531938106,0.58987722123,0.584660765881,0.70651960542,0.700828460743,0.499419012547,0.810752245701,0.756186778489,0.645687892846,0.545946233601,0.702137734877,0.63043940812
IMC,,,,,,,,,,,,,,,,,,,,0.515427361559,0.548543477296,0.488572237753,0.58425502364,0.563922861593,0.539375310843,0.587556469081,0.654321995007,0.714393450869,0.511327158237,0.447048839989,0.416136621468,0.494661416501,0.617314911292,0.739435549705,0.527690625992,0.588227981146,0.584759759517,0.429145533369,0.623211946959,0.621575048239,0.717170006584,0.458812488577,0.497868469771,0.428628073123
ISC,,,,,,,,,,,,,,,,,,,,,0.754262748225,0.75564738517,0.635124119254,0.730380460082,0.763716206552,0.687657893988,0.609398190567,0.634847313285,0.62124381289,0.527772912474,0.495394286242,0.754504138574,0.865787663812,0.571754704008,0.482401374064,0.668794145016,0.714118802049,0.451601670317,0.753589992111,0.708035559772,0.618084684059,0.598605272656,0.662047475342,0.576371563423
ISCA,,,,,,,,,,,,,,,,,,,,,,0.852742116822,0.554841867145,0.779251086541,0.932426730947,0.706529614519,0.627551559876,0.725841954093,0.661566092129,0.4810689748,0.446556864828,0.780810367218,0.80093366061,0.620851629037,0.454576116253,0.684820491683,0.68169862043,0.472743494089,0.765036224597,0.782052748507,0.655957078571,0.531581990707,0.698322276016,0.715638533238
ISPASS,,,,,,,,,,,,,,,,,,,,,,,0.516082576562,0.747489605953,0.854148733633,0.699187848494,0.573193525593,0.647091503895,0.639854040998,0.428800593102,0.382909713082,0.769198477135,0.793092582202,0.547687388381,0.447240838577,0.612091221238,0.613238591398,0.451016204208,0.717324066432,0.722222157571,0.590056120982,0.473534650502,0.678224652736,0.684199630677
KDD,,,,,,,,,,,,,,,,,,,,,,,,0.597573337825,0.582191346411,0.620720147512,0.594398408451,0.619066722649,0.616623805042,0.635216177784,0.670551342071,0.609456497055,0.715008964933,0.550435147625,0.752398363115,0.673428047787,0.784006668866,0.489993275005,0.670817116475,0.573215839273,0.654680865483,0.692724801076,0.509013387673,0.398394180456
MASCOTS,,,,,,,,,,,,,,,,,,,,,,,,,0.767831174242,0.738426217056,0.627899145691,0.674434171863,0.587889447933,0.51266134382,0.455393945123,0.681252583764,0.784413712611,0.628562267025,0.519391106141,0.741712497627,0.671734838087,0.444313537825,0.771708047173,0.733016390491,0.659990646422,0.582956018881,0.708568170572,0.602975529256
MICRO,,,,,,,,,,,,,,,,,,,,,,,,,,0.709848521983,0.652502886901,0.720518567567,0.669312693543,0.499454525162,0.455704054742,0.792808797155,0.825779514814,0.603554871717,0.497003724642,0.69921411545,0.690627721143,0.483943447254,0.764978408798,0.780816749195,0.654227358686,0.536367373596,0.715251849373,0.714320926054
Middleware,,,,,,,,,,,,,,,,,,,,,,,,,,,0.662802166763,0.704634080968,0.646843236019,0.538197613588,0.51525754965,0.683387563033,0.78476213757,0.631879761284,0.573571493456,0.672494308501,0.716820527878,0.51043168761,0.823480869965,0.779423613896,0.697680768131,0.573306530129,0.713538486239,0.64350733721
MobiCom,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.696823786191,0.543448667175,0.489587403031,0.430216223602,0.565716774798,0.694396674601,0.70643179855,0.535561716254,0.630123296456,0.619632478767,0.440870871795,0.679441059548,0.672133849579,0.666295253715,0.492450251636,0.5876202613,0.507357077251
NDSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.733062306855,0.54952569454,0.532577599641,0.690531413167,0.739892641346,0.658750898673,0.575997869736,0.663859852862,0.703479200008,0.557035416637,0.72405178321,0.778640506704,0.90761931728,0.522280999242,0.604688105166,0.684232486507
PLDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.574652832425,0.646103535006,0.763834874575,0.693411900217,0.539705459977,0.529280836403,0.613724292068,0.734735535962,0.73146440418,0.664326156853,0.669213790007,0.737892818653,0.575234019794,0.528648027911,0.553101292905
PODC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.697530181114,0.589368391522,0.587363644665,0.495553245547,0.445150083515,0.616748678623,0.666561529887,0.433969772683,0.565018968734,0.574181303504,0.577554955872,0.785082188343,0.434407916989,0.372823233591
PODS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5279652961,0.547631940871,0.428884043989,0.562577611343,0.592480175101,0.793496211329,0.48670845808,0.569804117162,0.520801490046,0.591934263503,0.709334055862,0.404844165343,0.313956242537
PPoPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.816819078273,0.553150124601,0.480307627508,0.641358040886,0.733249266565,0.541615226916,0.743345795765,0.740583821075,0.661070624768,0.621786759155,0.6641910076,0.612948572304
SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.653867600772,0.593393806547,0.754643407225,0.782711353193,0.522271954303,0.85083088295,0.829457090952,0.719879507272,0.644779049982,0.76188880552,0.662175472527
SIGCOMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.443846016782,0.633849323359,0.58911884524,0.413575851167,0.681481523286,0.681407186427,0.624374836991,0.531359896725,0.532282035322,0.481158264576
SIGIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.539059809076,0.675764643574,0.470420194982,0.584265676295,0.535770907632,0.645608799146,0.462743419483,0.427076114157,0.348301552034
SIGMETRICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.728501711258,0.463532239558,0.747366542717,0.69339004979,0.675062057401,0.689354276926,0.618691363797,0.506510258704
SIGMOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.543434710449,0.823542333865,0.739773010061,0.734141040066,0.737074170415,0.62740940525,0.507706363694
SLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.50177372352,0.4965555487,0.607112462001,0.399563140799,0.365560765697,0.369079803106
SOCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85996574063,0.723185205409,0.63916541173,0.757876919446,0.693199108616
SOSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.755405876732,0.565645945169,0.752639221419,0.739102337139
SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.539539245242,0.578679895236,0.581073568315
SPAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.497024757718,0.367794100591
SYSTOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.635697979536
VEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
