,ASPLOS,ATC,CCGRID,CCS,CIDR,CoNEXT,EuroPar,EuroSys,FAST,HCW,HotCloud,HotI,HotOS,HotStorage,HPCA,HPDC,ICAC,ICPE,IMC,ISC,ISCA,ISPASS,KDD,MASCOTS,MICRO,Middleware,MobiCom,NDSS,PLDI,PODC,PODS,PPoPP,SC,SIGCOMM,SIGIR,SIGMETRICS,SIGMOD,SLE,SOCC,SOSP,SP,SPAA,SYSTOR,VEE
ASPLOS,,0.816619996789,0.751422739242,0.646948754145,0.618892591484,0.560647510139,0.746885717326,0.794499492021,0.65402752101,0.579258500242,0.65709802933,0.5348009553,0.751382143938,0.649750739308,0.815253418766,0.669600965932,0.583109098749,0.713293838449,0.481273382939,0.6822765606,0.84401357452,0.778305489637,0.537089594652,0.705805997396,0.836286281121,0.64792396764,0.546112117549,0.701438713791,0.684028087744,0.523424895817,0.438581883324,0.74737754731,0.768553668265,0.564611541135,0.454141724935,0.619938931934,0.676554578833,0.471728355257,0.736760724196,0.757291682712,0.6465069881,0.537063112013,0.643900048907,0.621391144966
ATC,,,0.773246648933,0.639352062418,0.652421155789,0.573774396251,0.71868907679,0.816340311462,0.753314186508,0.583997270196,0.676016416055,0.537890671264,0.778264549908,0.710722547841,0.741652769299,0.68397993543,0.588229373288,0.707800112525,0.498562713563,0.672245087981,0.7630494425,0.712980389057,0.527741567183,0.68341535209,0.752585487067,0.668767162642,0.562424719433,0.701742354462,0.618791245638,0.504681969722,0.430481788467,0.712232906036,0.776331321908,0.583498490285,0.450556846117,0.612684558552,0.685568892766,0.42450237931,0.785134037409,0.811714794781,0.639975611245,0.536470337532,0.673492829112,0.650692841552
CCGRID,,,,0.63853642407,0.670519625871,0.593999035303,0.794017292068,0.754561208096,0.632501627689,0.639488716749,0.74915121404,0.588997058643,0.735183696002,0.638706505673,0.69689645163,0.723906261243,0.688305401447,0.758446065238,0.512454068562,0.703391832572,0.700700032318,0.680492761135,0.625057147726,0.734205806225,0.698601482723,0.711580558401,0.57749797168,0.663781789075,0.596826292784,0.541680029034,0.477267762838,0.672629424063,0.783412281435,0.573906038737,0.53565702543,0.66252724318,0.710562589451,0.456547131409,0.808954165314,0.730022540836,0.652735137337,0.594546585791,0.657466759848,0.56485411438
CCS,,,,,0.569671026785,0.560821119824,0.607480545081,0.647299298755,0.501754044317,0.424016435041,0.555127860313,0.451526574946,0.655667425051,0.491002804193,0.572752909075,0.570890653434,0.509884077303,0.590504686001,0.580329896132,0.550803314682,0.59560112615,0.528514488629,0.600926001282,0.556778855059,0.604018587845,0.579046274423,0.556984200421,0.845847000537,0.661358215983,0.581027514262,0.561616217224,0.591736288673,0.656186309435,0.533435942575,0.56004150535,0.605839738057,0.680630953743,0.506440913162,0.63997395561,0.662601354134,0.865978334407,0.545269295477,0.5004690021,0.474298341292
CIDR,,,,,,0.466835885027,0.599525476969,0.65207429937,0.577638582507,0.450987576059,0.619942383184,0.415814199639,0.680317162101,0.58105284216,0.540755700462,0.643719663518,0.509879192052,0.609455926103,0.447359172003,0.564869969474,0.577487077193,0.514953032737,0.548085081763,0.520781404581,0.595294380459,0.579862755145,0.47912264121,0.564813721032,0.564158934631,0.42781762652,0.518997654668,0.575643097458,0.665049213402,0.462270909582,0.541361685104,0.512244032139,0.773836815419,0.413836845272,0.730078365403,0.668694134313,0.596495335093,0.46408886633,0.562080411709,0.428524726418
CoNEXT,,,,,,,0.538524281535,0.567133679692,0.458961465579,0.402005464855,0.536287538195,0.530041245372,0.517244781072,0.450306427131,0.555606300871,0.528048894401,0.493126392515,0.54895491903,0.546694866153,0.497552677277,0.529051467507,0.482115341003,0.510045265558,0.541883384497,0.53501980105,0.53256327106,0.65495297315,0.573057403287,0.463774487263,0.467194587643,0.391591090401,0.478986570197,0.592218432791,0.65883678531,0.424609023895,0.532775752827,0.546929356053,0.348693356046,0.584079138167,0.555461073448,0.555736274893,0.481144553306,0.47865844981,0.384211345268
EuroPar,,,,,,,,0.71683432215,0.559376725227,0.621174372985,0.640551095451,0.568250853232,0.656251192211,0.544700585064,0.68428970307,0.70090602418,0.607653572673,0.697999165696,0.446525935976,0.764378882585,0.708021240732,0.699999079976,0.635268555233,0.663660686338,0.707619763988,0.651696470012,0.516416854977,0.616774781423,0.644236929511,0.586459049254,0.517192862109,0.747977686908,0.790812073542,0.509377268118,0.501820446043,0.624388536257,0.730942851417,0.4669509065,0.72569096952,0.647963885922,0.600479271096,0.649234218037,0.585790902945,0.502754579728
EuroSys,,,,,,,,,0.684366107512,0.549355138164,0.676549288072,0.542361649254,0.747924276177,0.657106104431,0.701533272921,0.674415543952,0.574464304477,0.701156943343,0.501337607285,0.655010559315,0.723777607907,0.679658523535,0.521412941662,0.660438309892,0.719306709643,0.655072936334,0.546323374593,0.692574670167,0.637804815972,0.526819838998,0.453894964715,0.711308007193,0.745580560406,0.578723599512,0.449120939439,0.599396752889,0.684075299836,0.433950357025,0.75671816412,0.773515727619,0.652075665171,0.536724736759,0.646184865658,0.587914093335
FAST,,,,,,,,,,0.491224824463,0.557106698071,0.419149592825,0.657813588877,0.754550641766,0.603996175233,0.570169912067,0.46662460031,0.583497191977,0.390786336229,0.552858741121,0.588441696617,0.559449427345,0.409117753257,0.555192491922,0.593120967688,0.537778084458,0.456175125526,0.536297334607,0.469829796849,0.415959225056,0.341578334945,0.562656857337,0.659930864138,0.441294605418,0.352674263302,0.50033312193,0.575300261155,0.330518998298,0.669638757384,0.708701205281,0.509205296053,0.426303156942,0.604806089489,0.498465258049
HCW,,,,,,,,,,,0.534145526486,0.395349726817,0.559609588727,0.478231795064,0.535888046169,0.53363272151,0.490526841417,0.546048272265,0.331573082915,0.514576505864,0.539535665061,0.551261416713,0.415857278763,0.516213736083,0.555509451787,0.49965458651,0.409991924108,0.449380978478,0.427833098889,0.342528054694,0.310148084114,0.538956977531,0.582790283089,0.390395103978,0.361621080422,0.461376485706,0.481857042895,0.305530123787,0.580175227293,0.529946475326,0.432336560979,0.431694457856,0.533747482513,0.417080076259
HotCloud,,,,,,,,,,,,0.502051892001,0.678136591111,0.570740914252,0.58791232209,0.619758320002,0.56572233505,0.650563139272,0.490707924104,0.576825366474,0.602923919346,0.581330108184,0.505763993858,0.60431734505,0.599996423632,0.622145142438,0.516929712599,0.580067711353,0.508836714099,0.425987294243,0.381368229355,0.559199390504,0.667498651958,0.524429261507,0.451964236722,0.547211927998,0.594518299474,0.380728014143,0.71020365589,0.658878294812,0.582551527445,0.450451787512,0.619695387325,0.481684456384
HotI,,,,,,,,,,,,,0.469385056898,0.429757567563,0.540076804458,0.485465088646,0.437720243997,0.479024429871,0.412643969104,0.532013318362,0.518383203162,0.486119839565,0.440770161547,0.51136806272,0.499636081766,0.469519621659,0.461804495665,0.487853107349,0.404352858168,0.435069090962,0.3403387272,0.482339261698,0.578640633087,0.560742087731,0.343543134676,0.453920565104,0.481894608471,0.304132479075,0.525970864835,0.508743352197,0.456030177139,0.442237464815,0.457672726331,0.355684346538
HotOS,,,,,,,,,,,,,,0.654778061962,0.647738691873,0.655258923799,0.567046707556,0.697526818193,0.470448457222,0.616333358076,0.696961417048,0.642379896811,0.50230778413,0.619380559514,0.705476470037,0.64892551188,0.540056416245,0.677598288748,0.599870516184,0.460755132032,0.40730891659,0.642342765377,0.739440896018,0.518433245097,0.486927085323,0.565667097761,0.623387484731,0.46484105394,0.738136451552,0.777165566891,0.664977277733,0.453591204461,0.622966973577,0.597778954379
HotStorage,,,,,,,,,,,,,,,0.610086335075,0.570161482443,0.462309540068,0.575362487173,0.39885258883,0.547163695093,0.607570112648,0.559405345646,0.406616180447,0.573158482931,0.610882072081,0.538495305045,0.467557431414,0.533087463585,0.442121897972,0.36258798762,0.316101914278,0.53240930222,0.64007848458,0.440443955081,0.357803168877,0.483314667003,0.542908130154,0.315156395792,0.651471410502,0.666736891665,0.506939378946,0.388933051925,0.614364415721,0.501917827805
HPCA,,,,,,,,,,,,,,,,0.61289541492,0.542702966555,0.665561008899,0.461227149396,0.653659440809,0.845004625321,0.759014749515,0.489654785887,0.693076347269,0.838640615051,0.578944797906,0.53592034302,0.622850142807,0.54716676659,0.454743896008,0.380288699317,0.652577013661,0.722794086011,0.552973336723,0.408780888651,0.610398628984,0.605198261787,0.368291010822,0.67077425425,0.677061827707,0.558221244477,0.492375275369,0.612791691037,0.548473451694
HPDC,,,,,,,,,,,,,,,,,0.565336836359,0.668189376226,0.444910274519,0.650016889033,0.634347710308,0.596917487384,0.592368856968,0.619725574743,0.652702534244,0.606121904244,0.510242520493,0.556935074422,0.542023568984,0.511236017619,0.465477374874,0.633829584405,0.748012546062,0.503289733431,0.496436091984,0.606065864458,0.682198270706,0.392239140225,0.711183317964,0.647818370851,0.554566667534,0.585398315744,0.599936860729,0.458357311904
ICAC,,,,,,,,,,,,,,,,,,0.59894586856,0.416630151941,0.554284598717,0.539849097292,0.522316382392,0.511623858577,0.585640718684,0.548065933006,0.571262383287,0.504691501832,0.534464253316,0.494677741995,0.414824884828,0.372259147434,0.509252727656,0.602607033523,0.456264095859,0.45907069848,0.527838540516,0.552018423082,0.388936042026,0.612450574459,0.559838473448,0.532708217211,0.463692299027,0.502365884717,0.416882876114
ICPE,,,,,,,,,,,,,,,,,,,0.482393840725,0.653363815692,0.665889917926,0.673257658087,0.570713095501,0.676259430698,0.687025166339,0.65576762314,0.533231068703,0.599221984804,0.572093216517,0.465138519999,0.456305715807,0.610798124023,0.756499918371,0.516121117475,0.54855014902,0.617565791784,0.657437928598,0.434108511996,0.734293688472,0.676016556658,0.591120352906,0.504644825574,0.619269545349,0.525015843866
IMC,,,,,,,,,,,,,,,,,,,,0.420532687236,0.452938932999,0.409952027887,0.475451288325,0.448574032803,0.451900796774,0.46167379485,0.50178486788,0.59268504388,0.428779337637,0.376980093173,0.337127675988,0.406227143925,0.512754292551,0.63174953126,0.440507533744,0.477882817374,0.489421259199,0.344479221939,0.523163911932,0.502771122297,0.594036678422,0.383692752707,0.402798641343,0.344885695128
ISC,,,,,,,,,,,,,,,,,,,,,0.663985227713,0.657208346763,0.55387603039,0.618168956736,0.668229886505,0.565717686708,0.498267517872,0.567886873942,0.545305960437,0.485546057487,0.428037180605,0.655399332428,0.781208392115,0.481949200332,0.434205173192,0.559712516405,0.63860498447,0.385010642767,0.651945372871,0.606915527735,0.546923715041,0.531599266459,0.559218208759,0.473068177084
ISCA,,,,,,,,,,,,,,,,,,,,,,0.773543842242,0.499602556171,0.679039630871,0.86030628268,0.59711271351,0.523465183244,0.652410630908,0.601566166386,0.4494765733,0.398791258428,0.699369498437,0.730834251058,0.532593414359,0.418679809805,0.596312107642,0.629733454928,0.410252074614,0.685860845093,0.695353148709,0.584332205165,0.485399858591,0.605101526785,0.593130900177
ISPASS,,,,,,,,,,,,,,,,,,,,,,,0.462260064308,0.647997932079,0.777236324363,0.58576165015,0.477127972527,0.589071752092,0.578720448198,0.401734886078,0.348285562726,0.685090922435,0.71675570783,0.477151907972,0.407057537272,0.52928461515,0.562440604201,0.393274433461,0.64240284765,0.636386877106,0.534503379504,0.435128444001,0.592086099374,0.569710415093
KDD,,,,,,,,,,,,,,,,,,,,,,,,0.519932211893,0.524427136667,0.523562868289,0.490175849227,0.54613766452,0.555208015597,0.585197776922,0.588079537696,0.537590742592,0.642930010601,0.473179611121,0.703264041382,0.588196223273,0.719259275614,0.428239995626,0.596138513866,0.503851824794,0.573890561319,0.625327612448,0.445373920559,0.330437785856
MASCOTS,,,,,,,,,,,,,,,,,,,,,,,,,0.667827090936,0.598034795276,0.509393052211,0.57826674722,0.513417194389,0.463655383771,0.392595405059,0.582571994095,0.680007313441,0.519556582369,0.460614923283,0.614971199058,0.592938125787,0.37486681727,0.66435151491,0.623030222605,0.564316506533,0.50864096583,0.590851701034,0.488374689337
MICRO,,,,,,,,,,,,,,,,,,,,,,,,,,0.602451326154,0.54562397871,0.644934567117,0.609024458538,0.466580323962,0.407140138648,0.709636115907,0.756169938968,0.522645945513,0.458744305517,0.610999059637,0.638380685614,0.419500902239,0.689334680429,0.694578449664,0.584474916252,0.488946251342,0.624551725383,0.591937786027
Middleware,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52380815437,0.586967270866,0.545899061982,0.465741826112,0.427134904608,0.567882781455,0.663460533217,0.517536304317,0.491052977137,0.552032075173,0.615144764226,0.421329613575,0.696192967451,0.647757258332,0.572972547788,0.490381530195,0.574288133782,0.506029639692
MobiCom,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.574386745292,0.454138398158,0.420755291022,0.355442180293,0.463540440731,0.582909456679,0.574692595389,0.451098308199,0.514133391018,0.523127487006,0.362467875061,0.566764616186,0.548335368021,0.544358413929,0.415502993229,0.467013419899,0.394462636679
NDSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.652948195549,0.503817739804,0.466512103077,0.607172332988,0.65981409358,0.562098823578,0.514247919071,0.56314817005,0.637571832931,0.471876541324,0.638911042966,0.683782515355,0.83543342165,0.478844399883,0.523934087578,0.56553757682
PLDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.532236102972,0.5739629853,0.685577231739,0.629791858669,0.468702683556,0.483189377928,0.532528939215,0.682334229846,0.635091739852,0.597579790591,0.596490443564,0.655876195696,0.524363574159,0.46002983861,0.463113327361
PODC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.632155299878,0.541819195529,0.546752817103,0.437037346982,0.413228784752,0.556454063728,0.630694339888,0.389146012334,0.520509708669,0.523592191555,0.527195600927,0.732275494674,0.39292302576,0.327196544724
PODS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.460834441735,0.486148063505,0.371518844546,0.499373099817,0.517542450849,0.71619945207,0.405434255877,0.497233584309,0.451477223963,0.513716587673,0.63277499084,0.355031999031,0.265805123056
PPoPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.732262731104,0.474051370207,0.435478343155,0.546191618917,0.66279971739,0.46230631202,0.655520116817,0.643705441106,0.577581869032,0.557289925704,0.568075905783,0.508849785977
SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.567042332466,0.550020799455,0.648831554456,0.722922399479,0.456959156591,0.764850386725,0.736423522708,0.638340768847,0.586354462718,0.664854624124,0.544807809408
SIGCOMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39057504191,0.52847536005,0.516293996922,0.346608657831,0.597700714921,0.578630841678,0.528197346371,0.45806890793,0.448585208958,0.380819228743
SIGIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47857038117,0.628749350428,0.410024246161,0.526987627737,0.477142405244,0.573719813276,0.426895122146,0.386604663019,0.298015802047
SIGMETRICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.639281773263,0.399982633209,0.642992016702,0.587234579861,0.570966538839,0.604821061213,0.511292109668,0.401292115844
SIGMOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.473310660761,0.755266148544,0.670690552348,0.661294629677,0.681969016715,0.552918529815,0.437891178542
SLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.436643968478,0.422098913615,0.512925015941,0.355514619073,0.31473116801,0.307195907459
SOCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.760411414735,0.63247661452,0.577412242542,0.650206191373,0.580760043261
SOSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.657608474038,0.505625093744,0.635234258241,0.607822608792
SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.491780463764,0.497389587969,0.475438563486
SPAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.443955767648,0.32383582402
SYSTOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512707061159
VEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
